"Fighter","Opponent","Date","Country","WT_Class","Height","Weight","Birthdate","Team","Nickname","Stance","Reach","Decision","Rnd","Time","Event","Res","SDBL","SDB_A","SDHL","SDH_A","SDLL","SDL_A","TSL","TS_A","SSL","SS_A","X.Total_Strikes","KD","X.BODY","X.HEAD","X.LEG","SCBL","SCB_A","SCHL","SCH_A","SCLL","SCL_A","RV","SR","TDL","TD_A","TDS","X.TK_ACC","SGBL","SGB_A","SGHL","SGH_A","SGLL","SGL_A","AD","ADTB","ADHG","ADTM","ADTS","SM","Southpaw_Stance","Orthodox_Stance","Switch_Stance","Time_Seconds","Total_Fight_Time_Seconds","Decision_Unanimous","KO_TKO","Submission","Decision_Split","No_Contest","Draw","Decision_Majority","TKO_Doctors_Stoppage","Africa","Asia","Europe","North_America","South_America","Oceania","X.Significant_Strikes","X.Clinch_Body_Strikes","X.Clinch_Head_Strikes","X.Clinch_Leg_Strikes","X.Ground_Body_Strikes","X.Ground_Head_Strikes","X.Ground_Leg_Strikes","Results","Continent"
"Sam Hughes","Yazmin Jauregui",2022-10-22,"USA","Women's Featherweight",65,114,1994-10-24,"Fortis MMA","Sampage","Orthodox",64,"Decision - Unanimous",3,"5:00","UFC Fight Night: Moreno vs. Royval 2","L",17,24,37,136,26,30,88,206,83,197,42,0,71,28,87,0,0,3,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,42,0,42,0,0,0,0,0,"North America"
"Jesus Aguilar","Mateus Mendonca",2022-11-12,"Mexico","Flyweight",64,126,1990-05-04,"Entram Gym","0","Orthodox",62,"Decision - Split",3,"5:00","UFC Fight Night: Moreno vs. Royval 2","W",2,2,6,14,3,5,38,62,19,36,61,0,100,42,62,2,2,0,0,2,3,1,0,1,4,0,25,0,0,4,10,0,0,0,0,0,0,0,1,0,1,0,300,900,0,0,0,1,0,0,0,0,0,0,0,1,0,0,52,100,0,66,0,40,0,1,"North America"
"Brian Ortega","Yair Rodriguez",2022-11-12,"USA","Featherweight",68,145,1991-04-22,"Gracie Jiu-Jitsu","T-City","Orthodox",69,"Submission",3,"0:58","UFC Fight Night: Moreno vs. Royval 2","W",1,2,12,48,0,0,47,104,28,73,45,0,50,38,0,0,1,2,2,0,0,0,0,3,6,0,50,1,1,12,19,0,0,0,0,0,0,0,1,0,1,0,58,658,0,0,1,0,0,0,0,0,0,0,0,1,0,0,38,0,100,0,100,63,0,1,"North America"
"Daniel Zellhuber","Francisco Prado",2022-11-12,"Mexico","Lightweight",73,156,1989-07-22,"Xtreme Couture","Golden Boy","Switch",77,"Decision - Unanimous",3,"5:00","UFC Fight Night: Moreno vs. Royval 2","W",22,32,87,228,8,8,120,272,120,272,44,0,69,38,100,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,44,75,0,0,0,0,0,1,"North America"
"Ronaldo Rodriguez","Denys Bondar",2022-11-12,"Mexico","Flyweight",66,124,1990-02-13,"ADAM Coatzacoalcos","Lazy Boy","Orthodox",65,"Submission",2,"4:59","UFC Fight Night: Moreno vs. Royval 2","W",5,6,3,32,5,5,50,93,31,69,53,0,78,35,100,2,3,3,4,0,0,3,0,0,0,0,0,0,0,13,19,0,0,0,0,0,0,0,1,0,1,0,299,599,0,0,1,0,0,0,0,0,0,0,0,1,0,0,44,66,75,0,0,68,0,1,"North America"
"Tom Aspinall","Alan Baudot",2022-12-10,"England","Heavyweight",77,251,1995-01-03,"Team Kaobon","No","Orthodox",78,"KO/TKO",1,"1:35","UFC Fight Night: Moraes vs. Sandhagen","W",0,0,3,9,1,1,17,26,16,25,65,0,0,62,100,0,0,0,0,0,0,0,0,1,1,0,100,0,0,12,15,0,0,1,0,0,1,0,0,0,1,0,95,95,0,1,0,0,0,0,0,0,0,0,1,0,0,0,64,0,0,0,0,80,0,1,"Europe"
"Giga Chikadze","Omar Morales",2022-12-10,"Georgia","Featherweight",72,146,1994-01-14,"Kings MMA","Ninja","Orthodox",74,"Decision - Unanimous",3,"5:00","UFC Fight Night: Moraes vs. Sandhagen","W",20,23,25,99,9,12,69,163,65,157,42,1,86,27,75,0,0,0,2,0,0,0,0,0,0,0,0,4,5,7,16,0,0,0,0,0,0,0,2,0,1,0,300,900,1,0,0,0,0,0,0,0,0,1,0,0,0,0,41,0,0,0,80,43,0,1,"Asia"
"Cory Sandhagen","Marlon Moraes",2022-12-10,"USA","Bantamweight",71,136,1988-03-17,"Elevation Fight Team","","Switch",70,"KO/TKO",2,"1:03","UFC Fight Night: Moraes vs. Sandhagen","W",9,10,14,59,13,15,38,88,38,88,43,1,90,25,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,63,363,0,1,0,0,0,0,0,0,0,0,0,1,0,0,43,0,0,0,0,50,0,1,"North America"
"Marcin Tybura","Ben Rothwell",2022-12-10,"Poland","Heavyweight",75,247,1997-11-20,"Ankos MMA","Tybur","Orthodox",78,"Decision - Unanimous",3,"5:00","UFC Fight Night: Moraes vs. Sandhagen","W",14,18,65,137,10,10,155,274,94,183,56,0,79,45,100,1,1,2,11,0,0,0,0,1,3,0,33,0,0,2,6,0,0,1,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,51,100,18,0,0,33,0,1,"Europe"
"Youssef Zalal","Ilia Topuria",2023-01-21,"Morocco","Featherweight",70,145,1992-02-17,"FactoryX Muay Thai","The Moroccan Devil","Switch",72,"Decision - Unanimous",3,"5:00","UFC Fight Night: Moraes vs. Sandhagen","L",3,6,9,41,3,3,40,85,17,53,47,0,57,23,100,1,1,1,1,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,300,900,1,0,0,0,0,0,0,0,1,0,0,0,0,0,32,100,100,0,0,0,0,0,"Africa"
"Dricus Du Plessis","Markus Perez",2023-01-21,"South Africa","Middleweight",73,184,1987-12-18,"CIT Performance Institute","Stilknocks","Switch",76,"KO/TKO",1,"3:22","UFC Fight Night: Moraes vs. Sandhagen","W",4,5,4,24,15,25,26,58,26,58,44,1,80,25,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,202,202,0,1,0,0,0,0,0,0,1,0,0,0,0,0,44,0,0,0,0,75,0,1,"Africa"
"Molly McCann","Ariane da Silva",2023-01-21,"England","Women's Featherweight",64,116,1987-08-03,"Next Generation UK","Meatball","Orthodox",62,"Decision - Unanimous",3,"5:00","UFC Fight Night: Moicano vs. The Korean Zombie","W",8,11,55,144,33,39,109,214,108,213,50,0,75,41,85,1,1,3,3,0,0,0,0,2,2,1,100,8,15,8,15,0,0,2,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,50,100,100,0,53,53,0,1,"Europe"
"Jairzinho Rozenstruik","Allen Crowder",2023-01-21,"Suriname","Heavyweight",74,260,1986-07-20,"American Top Team","Bigi Boy","Orthodox",78,"KO/TKO",1,"0:09","UFC Fight Night: Moicano vs. The Korean Zombie","W",0,0,1,1,0,0,4,4,4,4,100,1,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,9,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,0,100,0,1,"South America"
"Tony Ferguson","Josh Thomson",2023-01-21,"USA","Lightweight",71,155,1991-09-25,"Team Death Clutch","El Cucuy","Orthodox",76,"Decision - Unanimous",3,"5:00","UFC Fight Night: Mir vs. Duffee","W",17,20,42,92,7,7,69,122,66,119,56,0,85,46,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,1,0,0,55,0,0,0,0,0,0,1,"North America"
"Jessica Andrade","Sarah Moras",2023-02-11,"Brazil","Strawweight",61,115,1994-02-10,"PRVT","Bate Estaca","Orthodox",62,"Decision - Unanimous",3,"5:00","UFC Fight Night: Mir vs. Duffee","W",5,7,7,34,5,5,158,206,50,90,76,0,82,49,100,0,0,0,0,0,0,0,0,3,4,1,75,4,4,29,40,0,0,7,0,3,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,0,1,0,55,0,0,0,100,72,0,1,"South America"
"Dan Hooker","Hatsu Hioki",2023-02-11,"New Zealand","Lightweight",72,155,1987-10-18,"City Kickboxing","The Hangman","Orthodox",75,"KO/TKO",2,"4:13","UFC Fight Night: Miocic vs. Hunt","W",1,4,14,43,2,8,34,74,21,61,45,1,25,37,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,253,553,0,1,0,0,0,0,0,0,0,0,0,0,0,1,34,0,66,0,0,66,0,1,"Oceania"
"Leon Edwards","Vicente Luque",2023-02-11,"England","Welterweight",74,170,1994-05-24,"Renegade MMA","Rocky","Southpaw",74,"Decision - Unanimous",3,"5:00","UFC Fight Night: Manuwa vs. Anderson","W",9,11,34,74,1,1,77,135,53,102,57,0,71,47,75,3,5,3,4,2,3,0,0,3,12,0,25,0,0,1,3,0,0,1,0,1,0,0,0,1,0,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,51,60,75,66,0,33,0,1,"Europe"
"Marlon Vera","Brad Pickett",2023-02-11,"Ecuador","Bantamweight",68,136,1993-11-03,"RVCA","Chito","Switch",70,"KO/TKO",3,"3:50","UFC Fight Night: Manuwa vs. Anderson","W",8,23,32,85,19,23,72,149,67,143,48,1,38,41,83,1,1,4,7,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,230,830,0,1,0,0,0,0,0,0,0,0,0,0,1,0,46,100,57,0,0,75,0,1,"South America"
"Preston Parsons","Daniel Rodriguez",2023-03-04,"USA","Welterweight",71,169,1994-01-14,"Gracie Barra South Jax","Pressure","Orthodox",71,"KO/TKO",1,"3:47","UFC Fight Night: Makhachev vs. Moises","L",4,5,14,33,5,5,24,44,23,43,54,0,80,42,100,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,227,227,0,1,0,0,0,0,0,0,0,0,0,1,0,0,53,0,0,0,0,0,0,0,"North America"
"Mateusz Gamrot","Jeremy Stephens",2023-03-04,"Poland","Lightweight",70,156,1990-12-11,"American Top Team","Gamer","Southpaw",70,"Submission",1,"1:05","UFC Fight Night: Makhachev vs. Moises","W",0,0,1,1,0,0,1,1,1,1,100,0,0,100,0,0,0,0,0,0,0,0,0,1,2,0,50,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,65,65,0,0,1,0,0,0,0,0,0,0,1,0,0,0,100,0,0,0,0,0,0,1,"Europe"
"Bobby Green","Islam Makhachev",2023-03-04,"USA","Lightweight",70,154,1990-03-10,"Icon MMA","King","Orthodox",71,"KO/TKO",1,"3:23","UFC Fight Night: Makhachev vs. Green","L",3,3,0,3,1,2,11,15,9,13,73,0,100,40,50,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,203,203,0,1,0,0,0,0,0,0,0,0,0,1,0,0,69,100,0,0,0,100,0,0,"North America"
"Gregory Rodrigues","Armen Petrosyan",2023-03-04,"Brazil","Middleweight",75,185,1995-02-21,"Kill Cliff FC","Robocop","Orthodox",75,"Decision - Split",3,"5:00","UFC Fight Night: Makhachev vs. Green","L",9,12,45,114,7,7,61,133,61,133,45,0,75,40,100,0,0,0,0,0,0,0,0,2,3,0,67,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,300,900,0,0,0,1,0,0,0,0,0,0,0,0,1,0,45,0,0,0,0,0,0,0,"South America"
"Arnold Allen","Jordan Rinaldi",2023-03-04,"England","Featherweight",68,145,1993-08-09,"BKK Fighters","Almighty","Southpaw",70,"Decision - Unanimous",3,"5:00","UFC Fight Night: Makhachev vs. Green","W",10,13,25,89,0,0,41,117,37,111,35,1,77,28,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,1,0,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,0,0,0,0,25,1,"Europe"
"Arnold Allen","Alan Omer",2023-03-04,"England","Featherweight",68,145,1988-03-07,"BKK Fighters","Almighty","Southpaw",70,"Decision - Unanimous",3,"5:00","UFC Fight Night: Makhachev vs. Green","W",3,7,15,58,0,0,33,86,23,75,38,0,38,30,0,0,1,1,5,0,0,0,0,1,4,0,25,0,4,4,4,0,0,0,0,0,0,1,1,1,0,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,30,0,20,0,0,100,0,1,"Europe"
"Joel Alvarez","Arman Tsarukyan",2023-03-04,"Spain","Lightweight",75,155,1996-04-27,"LifeStyle","El Fenomeno","Orthodox",77,"KO/TKO",2,"1:57","UFC Fight Night: Makhachev vs. Green","L",10,14,17,46,10,10,64,98,42,75,65,0,75,41,100,0,0,2,2,0,0,0,0,0,1,0,0,2,2,1,1,0,0,0,0,0,0,0,1,0,1,0,117,417,0,1,0,0,0,0,0,0,0,0,1,0,0,0,56,0,100,0,100,100,0,0,"Europe"
"Jared Cannonier","Dominick Reyes",2023-03-18,"USA","Middleweight",71,185,1991-08-25,"MMA Lab","The Killa Gorilla","Orthodox",77,"KO/TKO",1,"2:55","UFC Fight Night: Maia vs. Usman","L",0,1,4,17,2,2,10,26,6,21,38,0,0,22,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,175,175,0,1,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,"North America"
"Alexa Grasso","Tatiana Suarez",2023-03-18,"Mexico","Women's Flyweight",65,125,1995-07-24,"Lobo Gym MMA","0","Orthodox",66,"Submission",1,"2:44","UFC Fight Night: Maia vs. Usman","L",0,1,0,1,0,0,21,23,6,8,91,0,67,80,0,1,1,3,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,164,164,0,0,1,0,0,0,0,0,0,0,0,1,0,0,75,100,100,0,100,100,0,0,"North America"
"Gilbert Burns","Alex Oliveira",2023-03-18,"Brazil","Welterweight",70,171,1996-08-03,"Kill Cliff FC","Durinho","Orthodox",71,"Submission",3,"4:14","UFC Fight Night: Maia vs. LaFlare","W",3,4,3,27,4,6,37,69,17,44,53,0,83,25,67,2,2,1,1,0,0,0,0,2,5,0,40,0,0,4,4,0,0,2,0,0,2,0,2,0,1,0,254,854,0,0,1,0,0,0,0,0,0,0,0,0,1,0,38,100,100,0,0,100,0,1,"South America"
"Dontale Mayes","Ciryl Gane",2023-03-18,"USA","Heavyweight",78,265,2000-07-30,"Jackson-Wink MMA","Lord Kong","Orthodox",81,"Submission",3,"4:46","UFC Fight Night: Maia vs. Askren","L",5,9,12,87,13,22,40,132,32,121,30,0,56,16,59,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,286,886,0,0,1,0,0,0,0,0,0,0,0,1,0,0,26,0,66,0,0,0,0,0,"North America"
"Marlon Vera","Guido Cannetti",2023-03-18,"Ecuador","Bantamweight",68,136,1996-04-30,"RVCA","Chito","Switch",70,"Submission",2,"1:31","UFC Fight Night: Magny vs. Ponzinibbio","W",1,4,2,5,0,1,36,48,24,35,75,1,71,72,33,8,9,8,8,1,2,0,0,2,2,1,100,1,1,3,5,0,0,1,0,0,0,0,2,0,0,1,91,391,0,0,1,0,0,0,0,0,0,0,0,0,1,0,68,88,100,50,100,60,0,1,"South America"
"Neil Magny","Santiago Ponzinibbio",2023-03-18,"USA","Welterweight",75,170,1988-05-13,"Elevation Fight Team","The Haitian Sensation","Orthodox",80,"KO/TKO",4,"2:36","UFC Fight Night: Magny vs. Ponzinibbio","L",7,12,51,215,12,18,72,251,72,251,28,0,64,23,67,0,0,0,2,0,0,0,0,0,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,156,1056,0,1,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,0,100,0,0,0,"North America"
"Neil Magny","Kelvin Gastelum",2023-03-18,"USA","Welterweight",75,170,1993-05-05,"Elevation Fight Team","The Haitian Sensation","Orthodox",80,"Decision - Split",5,"5:00","UFC Fight Night: Magny vs. Gastelum","W",4,9,32,104,3,9,81,174,54,145,46,0,67,34,33,6,6,5,12,0,0,0,0,6,14,1,43,0,0,4,5,0,0,4,4,1,1,0,0,0,1,0,300,1500,0,0,0,1,0,0,0,0,0,0,0,1,0,0,37,100,41,0,0,80,0,1,"North America"
"Jessica Andrade","Rosi Sexton",2023-03-18,"Brazil","Strawweight",61,115,1997-10-07,"PRVT","Bate Estaca","Orthodox",62,"Decision - Unanimous",3,"5:00","UFC Fight Night: Machida vs. Munoz","W",18,21,175,310,3,3,215,356,206,344,60,0,88,57,100,3,3,3,3,3,3,0,0,1,2,0,50,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,0,0,1,0,59,100,100,100,0,100,0,1,"South America"
"Marlon Vera","Douglas Silva de Andrade",2023-03-18,"Ecuador","Bantamweight",68,136,1995-03-31,"RVCA","Chito","Switch",70,"Decision - Unanimous",3,"5:00","UFC Fight Night: Machida vs. Anders","L",21,28,28,135,22,24,75,195,72,191,38,0,76,20,92,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,300,900,1,0,0,0,0,0,0,0,0,0,0,0,1,0,37,100,0,0,0,0,0,0,"South America"
"Deiveson Figueiredo","Joseph Morales",2023-04-08,"Brazil","Bantamweight",65,135,1993-09-06,"Team Figueiredo","Deus da Guerra","Orthodox",68,"KO/TKO",2,"4:34","UFC Fight Night: Machida vs. Anders","W",1,6,10,21,0,0,44,76,31,62,57,1,55,49,0,0,0,0,0,0,0,0,0,2,2,0,100,5,5,15,30,0,0,3,0,0,0,1,1,0,1,0,274,574,0,1,0,0,0,0,0,0,0,0,0,0,1,0,50,0,0,0,100,50,0,1,"South America"
"Valentina Shevchenko","Priscila Cachoeira",2023-04-08,"Kyrgyzstan","Women's Flyweight",65,125,1992-06-28,"Tiger Muay Thai","Bullet","Southpaw",66,"Submission",2,"4:25","UFC Fight Night: Machida vs. Anders","W",1,2,10,17,0,1,230,254,95,113,90,0,89,84,0,0,0,0,0,0,0,0,0,2,2,0,100,7,7,77,86,0,0,4,2,0,1,1,2,1,0,0,265,565,0,0,1,0,0,0,0,0,0,1,0,0,0,0,84,0,0,0,100,89,0,1,"Asia"
"Li Jingliang","Nordine Taleb",2023-04-08,"China","Welterweight",72,170,1989-07-22,"Kill Cliff FC","The Leech","Orthodox",71,"Decision - Split",3,"5:00","UFC Fight Night: MacDonald vs. Saffiedine","L",1,3,21,116,18,24,57,165,43,147,34,0,50,19,76,1,1,1,2,1,1,0,0,2,8,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,0,0,0,1,0,0,0,0,0,1,0,0,0,0,29,100,50,100,0,0,0,0,"Asia"
"Belal Muhammad","Vicente Luque",2023-04-08,"Palestine","Welterweight",71,169,1987-12-18,"Valle Flow Striking","Remember the Name","Orthodox",72,"Decision - Unanimous",5,"5:00","UFC Fight Night: Luque vs. Muhammad 2","W",8,13,47,135,1,1,136,260,60,155,52,0,62,36,100,0,0,3,5,0,0,0,0,5,10,0,50,0,0,6,6,0,0,0,0,0,0,0,1,0,1,0,300,1500,1,0,0,0,0,0,0,0,0,1,0,0,0,0,38,0,60,0,0,100,0,1,"Asia"
"Sam Hughes","Istela Nunes",2023-04-08,"USA","Women's Featherweight",65,114,1986-07-20,"Fortis MMA","Sampage","Orthodox",64,"Decision - Majority",3,"5:00","UFC Fight Night: Luque vs. Muhammad 2","W",8,12,51,144,0,0,151,257,76,182,58,0,60,40,100,1,3,3,4,0,0,0,0,2,5,0,40,0,0,13,19,0,0,0,0,0,0,0,0,0,1,0,300,900,0,0,0,0,0,0,1,0,0,0,0,1,0,0,41,33,75,0,0,68,0,1,"North America"
"Pannie Kianzad","Lina Lansberg",2023-04-08,"Sweden","Women's Bantamweight",67,136,1992-05-22,"Arte Suave Copenhagen","Banzai","Orthodox",66,"Decision - Unanimous",3,"5:00","UFC Fight Night: Luque vs. Muhammad 2","W",3,3,53,131,3,3,109,210,78,160,51,0,94,42,100,13,14,6,9,0,0,0,0,1,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,48,92,66,0,0,0,0,1,"Europe"
"Caio Borralho","Gadzhi Omargadzhiev",2023-05-06,"Brazil","Middleweight",73,185,1988-07-09,"Fighting Nerds","The Natural","Southpaw",75,"Decision - Unanimous",3,"3:56","UFC Fight Night: Luque vs. Muhammad 2","W",3,9,5,14,3,3,63,86,31,49,73,0,40,66,100,1,1,0,0,0,0,1,0,1,1,0,100,0,0,18,21,1,1,0,0,0,0,0,0,1,0,0,236,836,1,0,0,0,0,0,0,0,0,0,0,0,1,0,63,100,0,0,0,85,100,1,"South America"
"Luana Santos","Juliana Miller",2023-05-06,"Brazil","Women's Flyweight",66,125,1997-01-13,"Team Alpha Male","0","Orthodox",67,"KO/TKO",1,"3:41","UFC Fight Night: Luque vs. Dos Anjos","W",11,14,40,72,2,2,64,106,63,105,60,0,80,54,100,5,6,4,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,221,221,0,1,0,0,0,0,0,0,0,0,0,0,1,0,60,83,40,100,0,0,0,1,"South America"
"Marcus McGhee","JP Buys",2023-05-06,"USA","Bantamweight",68,135,1986-07-20,"MMA LAB","The Maniac","Orthodox",69,"KO/TKO",1,"2:19","UFC Fight Night: Luque vs. Dos Anjos","W",0,0,6,11,1,2,7,13,7,13,53,1,0,55,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,139,139,0,1,0,0,0,0,0,0,0,0,0,1,0,0,53,0,0,0,0,0,0,1,"North America"
"Curtis Blaydes","Cody East",2023-05-06,"USA","Heavyweight",76,256,1991-09-25,"Elevation Fight Team","Razor","Orthodox",80,"KO/TKO",2,"2:02","UFC Fight Night: Lineker vs. Dodson","W",2,3,6,16,2,2,109,149,52,81,73,2,88,59,100,1,1,3,9,2,2,0,0,5,6,2,83,4,4,32,44,0,0,3,0,1,2,1,0,0,1,0,122,422,0,1,0,0,0,0,0,0,0,0,0,1,0,0,64,100,33,100,100,72,0,1,"North America"
"Denis Tiuliulin","JunYong Park",2023-05-06,"Russia","Middleweight",73,185,1994-12-30,"Evolve MMA","","Orthodox",77,"Submission",1,"4:05","UFC Fight Night: Lewis vs. Spivac","L",4,6,4,16,0,0,8,22,8,22,36,0,67,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,245,245,0,0,1,0,0,0,0,0,0,1,0,0,0,0,36,0,0,0,0,0,0,0,"Asia"
"Marcin Tybura","Blagoy Ivanov",2023-06-10,"Poland","Heavyweight",75,247,1995-07-27,"Ankos MMA","Tybur","Orthodox",78,"Decision - Unanimous",3,"5:00","UFC Fight Night: Lewis vs. Spivac","W",19,24,12,70,8,8,61,133,40,103,45,0,79,17,100,0,0,0,0,0,0,0,0,1,1,0,100,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,38,0,0,0,0,0,100,1,"Europe"
"Serghei Spivac","Derrick Lewis",2023-06-10,"Moldova","Heavyweight",75,256,1991-04-20,"Polar Bear Team","Polar Bear","Orthodox",78,"Submission",1,"3:05","UFC Fight Night: Lewis vs. Spivac","W",0,0,0,3,0,0,36,54,12,21,66,0,0,57,0,0,0,0,0,0,0,0,0,6,8,0,75,0,0,12,18,0,0,0,0,0,0,0,1,0,1,0,185,185,0,0,1,0,0,0,0,0,0,0,1,0,0,0,57,0,0,0,0,66,0,1,"Europe"
"Toshiomi Kazama","Rinya Nakamura",2023-06-10,"Japan","Bantamweight",67,135,1987-11-19,"Wajutsu Keishukai Tokyo","","Orthodox",69,"KO/TKO",1,"0:33","UFC Fight Night: Lewis vs. Spivac","L",0,0,4,10,0,0,4,10,4,10,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,33,0,1,0,0,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,0,"Asia"
"Yusaku Kinoshita","Adam Fugitt",2023-07-22,"Japan","Welterweight",72,170,1992-10-15,"Kill Cliff FC","N/A","Southpaw",71,"KO/TKO",1,"4:36","UFC Fight Night: Lewis vs. Spivac","L",1,1,6,20,3,3,11,25,10,24,44,0,100,30,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,276,276,0,1,0,0,0,0,0,0,0,1,0,0,0,0,41,0,0,0,0,0,0,0,"Asia"
"Jesus Aguilar","Tatsuro Taira",2023-07-08,"Mexico","Flyweight",64,126,1988-07-14,"Entram Gym","0","Orthodox",62,"Submission",1,"4:20","UFC Fight Night: Lewis vs. Spivac","L",1,1,0,0,1,1,2,2,2,2,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,260,260,0,0,1,0,0,0,0,0,0,0,0,1,0,0,100,0,0,0,0,0,0,0,"North America"
"Kyle Nelson","Dooho Choi",2023-07-08,"Canada","Featherweight",71,145,1987-10-18,"House Of Champions","The Monster","Switch",71,"Draw",3,"5:00","UFC Fight Night: Lewis vs. Spivac","D",6,9,8,38,3,7,39,80,20,58,48,0,70,24,43,1,1,2,3,0,0,0,0,5,10,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300,900,0,0,0,0,0,1,0,0,0,0,0,1,0,0,34,100,66,0,0,0,0,0,"North America"
"Yana Santos","Julija Stoliarenko",2023-07-08,"Russia","Women's Bantamweight",66,144,1994-01-14,"American Top Team","Foxy","Orthodox",68,"Decision - Unanimous",3,"5:00","UFC Fight Night: Lewis vs. Oleinik","W",4,4,4,15,0,0,209,254,43,57,82,0,100,59,100,15,15,13,16,1,1,0,0,2,2,0,50,1,1,3,3,2,2,2,0,1,0,1,1,0,1,0,300,900,1,0,0,0,0,0,0,0,0,1,0,0,0,0,75,100,81,100,100,100,100,1,"Asia"
"Youssef Zalal","Peter Barrett",2023-07-08,"Morocco","Featherweight",70,145,1990-02-13,"FactoryX Muay Thai","The Moroccan Devil","Switch",72,"Decision - Unanimous",3,"5:00","UFC Fight Night: Lewis vs. Oleinik","W",6,10,27,52,8,8,82,129,54,92,63,1,60,54,100,0,0,1,3,0,0,0,0,3,5,0,60,0,0,12,19,0,0,0,1,12,19,0,3,0,0,1,300,900,1,0,0,0,0,0,0,0,1,0,0,0,0,0,58,0,33,0,0,63,0,1,"Africa"
"Jake Hadleye","Charles Johnson",2023-07-08,"England","Bantamweight",67,137,1996-03-13,"Fearless MMA","White Kong","Southpaw",70,"Decision - Unanimous",3,"5:00","UFC Fight Night: Lewis vs. Nascimento","L",14,21,14,83,18,20,50,130,48,128,38,0,68,17,90,1,1,1,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,300,900,1,0,0,0,0,0,0,0,0,0,1,0,0,0,37,100,33,0,0,0,0,0,"Europe"
